사고연도,사고유형구분,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,위도,경도
2012,스쿨존어린이,서울특별시 종로구1,서울특별시 종로구 혜화동(혜화초교 부근),2,2,37.588413,126.999607
2012,스쿨존어린이,서울특별시 성북구1,서울특별시 성북구 종암동(숭례초교 부근),2,2,37.595505,127.035733
2012,스쿨존어린이,서울특별시 성북구2,서울특별시 성북구 동소문동7가(정덕초교 부근),2,2,37.597571,127.014564
2012,스쿨존어린이,서울특별시 성북구3,서울특별시 성북구 석관동(석관초교 부근),3,3,37.610429,127.059596
2012,스쿨존어린이,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문초교 부근),2,2,37.648129,127.024430
2012,스쿨존어린이,서울특별시 노원구1,서울특별시 노원구 상계동(동일초교 부근),2,2,37.664437,127.056828
2012,스쿨존어린이,서울특별시 구로구1,서울특별시 구로구 개봉동(개봉초교 부근),2,3,37.489940,126.856930
2012,스쿨존어린이,서울특별시 구로구2,서울특별시 구로구 개봉동(매봉초교 부근),2,2,37.503921,126.845831
2012,스쿨존어린이,서울특별시 송파구1,서울특별시 송파구 방이동(방산초교 부근),2,2,37.509797,127.122101
2012,스쿨존어린이,경기도 수원시 영통구1,경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근),2,2,37.262664,127.044647
2012,보행어린이,서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),3,3,37.533295,127.005586
2012,보행어린이,서울특별시 성동구1,서울특별시 성동구 행당동(무학여고앞 부근),4,5,37.558635,127.032724
2012,보행어린이,서울특별시 광진구1,서울특별시 광진구 구의동(슬기유치원앞 부근),3,3,37.552232,127.093095
2012,보행어린이,서울특별시 광진구2,서울특별시 광진구 광장동(광장사거리 부근),5,5,37.544331,127.103648
2012,보행어린이,서울특별시 중랑구1,서울특별시 중랑구 중화동(태능시장 부근),3,3,37.598100,127.076933
2012,보행어린이,서울특별시 중랑구2,서울특별시 중랑구 중화동(성은교회앞 부근),3,3,37.603016,127.077223
2012,보행어린이,서울특별시 중랑구3,서울특별시 중랑구 묵동(브라운스톤태릉아파트(102동) 부근),3,3,37.618059,127.082962
2012,보행어린이,서울특별시 성북구1,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,5,37.599147,127.033915
2012,보행어린이,서울특별시 성북구2,서울특별시 성북구 석관동(석관초등학교 부근),4,4,37.611518,127.060141
2012,보행어린이,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문3파출소 부근),4,4,37.648390,127.025220
2012,보행어린이,서울특별시 노원구1,서울특별시 노원구 공릉동(공릉역 부근),3,4,37.626756,127.075194
2012,보행어린이,서울특별시 은평구1,서울특별시 은평구 녹번동(서운빌딩 부근),3,3,37.602728,126.927089
2012,보행어린이,서울특별시 마포구1,서울특별시 마포구 용강동(신석초등교앞_대흥로_진입 부근),3,3,37.544532,126.937591
2012,보행어린이,서울특별시 마포구2,서울특별시 마포구 망원동(동교초교 부근),4,4,37.557490,126.903026
2012,보행어린이,서울특별시 양천구1,서울특별시 양천구 목동(국민건강보험공단양천지사 부근),3,3,37.535824,126.877490
2012,보행어린이,서울특별시 양천구2,서울특별시 양천구 목동(강서고등학교 부근),4,4,37.536467,126.868740
2012,보행어린이,서울특별시 양천구3,서울특별시 양천구 신월동(신길제1동하나은행 부근),4,4,37.530519,126.837310
2012,보행어린이,서울특별시 강서구1,서울특별시 강서구 화곡동(신정초교앞사거리 부근),5,5,37.531613,126.854639
2012,보행어린이,서울특별시 구로구1,서울특별시 구로구 오류동(오류1동새마을금고도서관 부근),3,4,37.497295,126.842386
2012,보행어린이,서울특별시 구로구2,서울특별시 구로구 오류동(오남중학교 부근),3,3,37.487968,126.837826
